Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Jake Coker,Arizona Cardinals,2016,3,"$1,620,000","$540,000",$0,0.3%,"$2,664,700","$888,233",$0
James Morgan,Arizona Cardinals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Jarrett Guarantano,Arizona Cardinals,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
Jarrett Guarantano,Arizona Cardinals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Jeff Driskel,Arizona Cardinals,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Jeff Driskel,Arizona Cardinals,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Jeff Driskel,Arizona Cardinals,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Jeff Driskel,Arizona Cardinals,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Kevin Kolb,Arizona Cardinals,2011,5,"$62,108,000","$12,421,600","$20,000,000",10.3%,"$131,774,731","$26,354,946","$42,434,060"
Kyle Sloter,Arizona Cardinals,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Kyler Murray,Arizona Cardinals,2019,4,"$35,158,644","$8,789,661","$35,158,644",4.7%,"$47,712,634","$11,928,158","$47,712,634"
Kyler Murray,Arizona Cardinals,2022,5,"$230,500,000","$46,100,000","$160,000,000",22.1%,"$282,755,524","$56,551,105","$196,272,815"
Matt Barkley,Arizona Cardinals,2017,1,"$775,000","$775,000",$0,0.5%,"$1,185,240","$1,185,240",$0
Mike Bercovici,Arizona Cardinals,2017,1,"$122,400","$122,400",$0,0.1%,"$187,191","$187,191",$0
Mike Glennon,Arizona Cardinals,2018,2,"$8,000,000","$4,000,000","$4,000,000",2.3%,"$11,530,474","$5,765,237","$5,765,237"
Ryan Lindley,Arizona Cardinals,2012,4,"$2,205,308","$551,327","$105,308",0.5%,"$4,670,279","$1,167,570","$223,015"
Ryan Lindley,Arizona Cardinals,2014,1,"$570,000","$570,000",$0,0.4%,"$1,094,571","$1,094,571",$0
Sam Bradford,Arizona Cardinals,2018,2,"$40,000,000","$20,000,000","$15,000,000",11.3%,"$57,652,370","$28,826,185","$21,619,639"
Trace McSorley,Arizona Cardinals,2021,2,"$1,815,000","$907,500",$0,0.5%,"$2,540,005","$1,270,003",$0
Trace McSorley,Arizona Cardinals,2022,1,"$965,000","$965,000",$0,0.5%,"$1,183,770","$1,183,770",$0
Trace McSorley,Arizona Cardinals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Trevor Knight,Arizona Cardinals,2017,3,"$1,665,000","$555,000","$3,000",0.3%,"$2,546,353","$848,784","$4,588"
Zac Dysert,Arizona Cardinals,2016,1,"$525,000","$525,000",$0,0.3%,"$863,560","$863,560",$0
Zac Dysert,Arizona Cardinals,2016,1,"$117,300","$117,300",$0,0.1%,"$192,944","$192,944",$0
Brad Sorensen,Los Angeles Chargers,2013,4,"$2,219,400","$554,850","$59,400",0.5%,"$4,608,413","$1,152,103","$123,340"
Brad Sorensen,Los Angeles Chargers,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Brad Sorensen,Los Angeles Chargers,2015,2,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
Brad Sorensen,Los Angeles Chargers,2015,1,"$510,000","$510,000",$0,0.4%,"$909,087","$909,087",$0
Brad Sorensen,Los Angeles Chargers,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
Brad Sorensen,Los Angeles Chargers,2016,1,"$525,000","$525,000",$0,0.3%,"$863,560","$863,560",$0
Brandon Peters,Los Angeles Chargers,2022,3,"$2,567,000","$855,667","$7,000",0.4%,"$3,148,952","$1,049,651","$8,587"
Cardale Jones,Los Angeles Chargers,2016,4,"$2,723,392","$680,848","$383,392",0.4%,"$4,479,644","$1,119,911","$630,633"
Cardale Jones,Los Angeles Chargers,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Cardale Jones,Los Angeles Chargers,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
Casey Bauman,Los Angeles Chargers,2024,3,"$2,840,000","$946,667","$10,000",0.4%,"$2,840,000","$946,667","$10,000"
Charlie Whitehurst,Los Angeles Chargers,2010,1,"$1,176,000","$1,176,000",$0,0.9%,"$2,328,298","$2,328,298",$0
Charlie Whitehurst,Los Angeles Chargers,2012,2,"$3,050,000","$1,525,000","$1,000,000",1.3%,"$6,459,121","$3,229,561","$2,117,745"
Chase Daniel,Los Angeles Chargers,2021,1,"$1,075,000","$1,075,000",$0,0.6%,"$1,504,411","$1,504,411",$0
Chase Daniel,Los Angeles Chargers,2022,1,"$2,000,000","$2,000,000","$1,120,000",1%,"$2,453,410","$2,453,410","$1,373,910"
Chase Rettig,Los Angeles Chargers,2015,2,"$960,000","$480,000",$0,0.3%,"$1,711,223","$855,611",$0
Easton Stick,Los Angeles Chargers,2019,4,"$2,798,620","$699,655","$278,620",0.4%,"$3,797,915","$949,479","$378,106"
Easton Stick,Los Angeles Chargers,2023,1,"$1,800,000","$1,800,000","$1,152,500",0.8%,"$2,045,018","$2,045,018","$1,309,379"
Easton Stick,Los Angeles Chargers,2024,1,"$2,667,500","$2,667,500","$1,417,500",1%,"$2,667,500","$2,667,500","$1,417,500"
Eli Jenkins,Los Angeles Chargers,2017,3,"$1,670,000","$556,666","$5,000",0.3%,"$2,554,000","$851,332","$7,647"
Geno Smith,Los Angeles Chargers,2018,1,"$1,000,000","$1,000,000","$200,000",0.6%,"$1,441,309","$1,441,309","$288,262"
Justin Herbert,Los Angeles Chargers,2020,4,"$26,578,754","$6,644,689","$26,578,754",3.4%,"$34,249,313","$8,562,329","$34,249,313"
Justin Herbert,Los Angeles Chargers,2023,5,"$262,500,000","$52,500,000","$193,738,375",23.4%,"$298,231,762","$59,646,352","$220,110,236"
K.J. Costello,Los Angeles Chargers,2021,3,"$2,425,000","$808,333",$0,0.4%,"$3,393,671","$1,131,223",$0
Kellen Clemens,Los Angeles Chargers,2017,1,"$1,080,000","$1,080,000","$80,000",0.6%,"$1,651,689","$1,651,689","$122,347"
Kellen Clemens,Los Angeles Chargers,2017,1,"$1,000,000","$1,000,000",$0,0.6%,"$1,529,341","$1,529,341",$0
Luis Perez,Los Angeles Chargers,2024,1,"$795,000","$795,000",$0,0.3%,"$795,000","$795,000",$0
Max Duggan,Los Angeles Chargers,2023,4,"$3,926,220","$981,555","$86,220",0.4%,"$4,460,661","$1,115,165","$97,956"
Max Duggan,Los Angeles Chargers,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Max Duggan,Los Angeles Chargers,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Max Duggan,Los Angeles Chargers,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Max Duggan,Los Angeles Chargers,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Max Duggan,Los Angeles Chargers,2024,1,"$795,000","$795,000",$0,0.3%,"$795,000","$795,000",$0
Mike Bercovici,Los Angeles Chargers,2017,1,"$465,000","$465,000",$0,0.3%,"$711,144","$711,144",$0
Nathan Enderle,Los Angeles Chargers,2013,1,"$480,000","$480,000",$0,0.4%,"$996,683","$996,683",$0
Nic Shimonek,Los Angeles Chargers,2018,3,"$1,715,000","$571,667","$5,000",0.3%,"$2,471,845","$823,949","$7,207"
Philip Rivers,Los Angeles Chargers,2015,4,"$83,250,000","$20,812,500","$65,000,000",14.5%,"$148,395,101","$37,098,775","$115,864,042"
Ryan Lindley,Los Angeles Chargers,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
Tyrod Taylor,Los Angeles Chargers,2019,2,"$11,000,000","$5,500,000","$6,000,000",2.9%,"$14,927,736","$7,463,868","$8,142,402"
Will Grier,Los Angeles Chargers,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Andy Dalton,Chicago Bears,2021,1,"$10,000,000","$10,000,000","$7,000,000",5.5%,"$13,994,521","$13,994,521","$9,796,164"
Austin Reed,Chicago Bears,2024,3,"$2,835,000","$945,000","$5,000",0.4%,"$2,835,000","$945,000","$5,000"
Austin Reed,Chicago Bears,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
B.J. Daniels,Chicago Bears,2016,1,"$600,000","$600,000",$0,0.4%,"$986,926","$986,926",$0
Brett Rypien,Chicago Bears,2024,1,"$1,125,000","$1,125,000",$0,0.4%,"$1,125,000","$1,125,000",$0
Brian Hoyer,Chicago Bears,2016,1,"$2,000,000","$2,000,000","$750,000",1.3%,"$3,289,753","$3,289,753","$1,233,657"
Caleb Williams,Chicago Bears,2024,4,"$39,486,058","$9,871,515","$39,486,058",3.9%,"$39,486,058","$9,871,515","$39,486,058"
Chase Daniel,Chicago Bears,2018,2,"$10,000,000","$5,000,000","$7,000,000",2.8%,"$14,413,093","$7,206,546","$10,089,165"
Connor Shaw,Chicago Bears,2017,1,"$465,000","$465,000",$0,0.3%,"$711,144","$711,144",$0
Dalyn Williams,Chicago Bears,2016,3,"$1,620,000","$540,000",$0,0.3%,"$2,664,700","$888,233",$0
David Fales,Chicago Bears,2014,4,"$2,334,224","$583,556","$114,224",0.4%,"$4,482,412","$1,120,603","$219,344"
David Fales,Chicago Bears,2014,3,"$1,530,000","$510,000",$0,0.4%,"$2,938,060","$979,353",$0
David Fales,Chicago Bears,2014,1,"$107,100","$107,100",$0,0.1%,"$205,664","$205,664",$0
David Fales,Chicago Bears,2015,2,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
David Fales,Chicago Bears,2015,2,"$1,110,000","$555,000",$0,0.4%,"$1,978,601","$989,301",$0
David Fales,Chicago Bears,2015,1,"$212,500","$212,500",$0,0.1%,"$378,786","$378,786",$0
David Fales,Chicago Bears,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
David Fales,Chicago Bears,2016,1,"$600,000","$600,000",$0,0.4%,"$986,926","$986,926",$0
Jason Campbell,Chicago Bears,2012,1,"$3,500,000","$3,500,000","$2,000,000",2.9%,"$7,412,106","$7,412,106","$4,235,489"
Jay Cutler,Chicago Bears,2014,7,"$126,700,000","$18,100,000","$54,000,000",13.6%,"$243,302,105","$34,757,444","$103,696,241"
Josh McCown,Chicago Bears,2012,1,"$875,000","$875,000","$25,000",0.7%,"$1,853,027","$1,853,027","$52,944"
Josh McCown,Chicago Bears,2012,1,"$825,000","$825,000",$0,0.7%,"$1,747,139","$1,747,139",$0
Josh McCown,Chicago Bears,2013,1,"$865,000","$865,000","$125,000",0.7%,"$1,796,106","$1,796,106","$259,553"
Kyle Sloter,Chicago Bears,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Mark Sanchez,Chicago Bears,2017,1,"$2,000,000","$2,000,000","$1,000,000",1.2%,"$3,058,683","$3,058,683","$1,529,341"
Matt Barkley,Chicago Bears,2016,1,"$675,000","$675,000",$0,0.4%,"$1,110,292","$1,110,292",$0
Matt Barkley,Chicago Bears,2016,1,"$244,800","$244,800",$0,0.2%,"$402,666","$402,666",$0
Matt Blanchard,Chicago Bears,2016,1,"$450,000","$450,000",$0,0.3%,"$740,194","$740,194",$0
Mike Glennon,Chicago Bears,2017,3,"$45,000,000","$15,000,000","$18,500,000",9%,"$68,820,359","$22,940,120","$28,292,814"
Mitchell Trubisky,Chicago Bears,2017,4,"$29,032,436","$7,258,109","$29,032,436",4.3%,"$44,400,504","$11,100,126","$44,400,504"
Nathan Enderle,Chicago Bears,2011,4,"$2,208,860","$552,215","$168,860",0.5%,"$4,686,545","$1,171,636","$358,271"
Nathan Peterman,Chicago Bears,2022,1,"$1,035,000","$1,035,000",$0,0.5%,"$1,269,640","$1,269,640",$0
Nathan Peterman,Chicago Bears,2022,1,"$1,035,000","$1,035,000",$0,0.5%,"$1,269,640","$1,269,640",$0
Nathan Peterman,Chicago Bears,2022,1,"$395,800","$395,800",$0,0.2%,"$485,530","$485,530",$0
Nathan Peterman,Chicago Bears,2022,1,"$358,200","$358,200",$0,0.2%,"$439,406","$439,406",$0
Nathan Peterman,Chicago Bears,2023,1,"$1,232,500","$1,232,500","$152,500",0.5%,"$1,400,269","$1,400,269","$173,258"
Nathan Peterman,Chicago Bears,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Nathan Peterman,Chicago Bears,2023,1,"$1,080,000","$1,080,000",$0,0.5%,"$1,227,011","$1,227,011",$0
Nathan Peterman,Chicago Bears,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Nick Foles,Chicago Bears,2020,3,"$24,000,000","$8,000,000","$21,000,000",4%,"$30,926,337","$10,308,779","$27,060,545"
Phillip Walker,Chicago Bears,2023,2,"$4,000,000","$2,000,000","$3,010,000",0.9%,"$4,544,484","$2,272,242","$3,419,724"
Ryan Willis,Chicago Bears,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Ryan Willis,Chicago Bears,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
Shane Carden,Chicago Bears,2015,3,"$1,585,000","$528,333","$10,000",0.4%,"$2,825,300","$941,766","$17,825"
Tim Boyle,Chicago Bears,2022,1,"$1,035,000","$1,035,000",$0,0.5%,"$1,269,640","$1,269,640",$0
Trevor Siemian,Chicago Bears,2022,2,"$4,000,000","$2,000,000","$3,035,000",1%,"$4,906,820","$2,453,410","$3,723,050"
Tyler Bray,Chicago Bears,2018,1,"$795,000","$795,000","$45,000",0.4%,"$1,145,841","$1,145,841","$64,859"
Tyler Bray,Chicago Bears,2018,1,"$705,000","$705,000",$0,0.4%,"$1,016,123","$1,016,123",$0
Tyler Bray,Chicago Bears,2018,1,"$212,500","$212,500",$0,0.1%,"$306,278","$306,278",$0
Tyler Bray,Chicago Bears,2019,1,"$826,400","$826,400","$21,400",0.4%,"$1,121,480","$1,121,480","$29,041"
Tyler Bray,Chicago Bears,2019,1,"$805,000","$805,000",$0,0.4%,"$1,092,439","$1,092,439",$0
Tyler Bray,Chicago Bears,2019,1,"$212,500","$212,500",$0,0.1%,"$288,377","$288,377",$0
Tyler Bray,Chicago Bears,2020,1,"$955,000","$955,000","$45,000",0.5%,"$1,230,610","$1,230,610","$57,987"
Tyler Bray,Chicago Bears,2020,1,"$323,316","$323,316",$0,0.2%,"$416,624","$416,624",$0
Tyler Bray,Chicago Bears,2020,1,"$278,187","$278,187",$0,0.1%,"$358,471","$358,471",$0
Tyler Bray,Chicago Bears,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Tyson Bagent,Chicago Bears,2023,3,"$2,720,000","$906,667","$25,000",0.4%,"$3,090,249","$1,030,083","$28,403"
Aaron Murray,Kansas City Chiefs,2014,4,"$2,427,424","$606,856","$182,424",0.5%,"$4,661,384","$1,165,346","$350,309"
Alex Smith,Kansas City Chiefs,2014,4,"$68,000,000","$17,000,000","$45,000,000",12.8%,"$130,580,451","$32,645,113","$86,413,534"
Anthony Gordon,Kansas City Chiefs,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Anthony Gordon,Kansas City Chiefs,2022,1,"$705,000","$705,000",$0,0.3%,"$864,827","$864,827",$0
Bailey Zappe,Kansas City Chiefs,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Blaine Gabbert,Kansas City Chiefs,2023,1,"$1,317,500","$1,317,500","$1,092,500",0.6%,"$1,496,839","$1,496,839","$1,241,212"
Carson Wentz,Kansas City Chiefs,2024,1,"$3,325,000","$3,325,000","$2,200,000",1.3%,"$3,325,000","$3,325,000","$2,200,000"
Chad Henne,Kansas City Chiefs,2018,2,"$6,700,000","$3,350,000","$5,115,000",1.9%,"$9,656,772","$4,828,386","$7,372,297"
Chad Henne,Kansas City Chiefs,2020,2,"$3,250,000","$1,625,000","$2,750,000",0.8%,"$4,187,941","$2,093,971","$3,543,643"
Chad Henne,Kansas City Chiefs,2022,1,"$2,000,000","$2,000,000","$2,000,000",1%,"$2,453,410","$2,453,410","$2,453,410"
Chase Daniel,Kansas City Chiefs,2013,3,"$10,000,000","$3,333,333","$4,000,000",2.7%,"$20,764,228","$6,921,409","$8,305,691"
Chase Litton,Kansas City Chiefs,2018,3,"$1,720,000","$573,333","$20,000",0.3%,"$2,479,052","$826,350","$28,826"
Chase Litton,Kansas City Chiefs,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Chase Litton,Kansas City Chiefs,2019,1,"$495,000","$495,000",$0,0.3%,"$671,748","$671,748",$0
Chris Oladokun,Kansas City Chiefs,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Chris Oladokun,Kansas City Chiefs,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Chris Oladokun,Kansas City Chiefs,2023,1,"$245,667","$245,667",$0,0.1%,"$279,107","$279,107",$0
Chris Oladokun,Kansas City Chiefs,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Chris Oladokun,Kansas City Chiefs,2024,1,"$805,000","$805,000","$135,000",0.3%,"$805,000","$805,000","$135,000"
Chris Oladokun,Kansas City Chiefs,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Dustin Crum,Kansas City Chiefs,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
E.J. Manuel,Kansas City Chiefs,2019,1,"$805,000","$805,000",$0,0.4%,"$1,092,439","$1,092,439",$0
Ian Book,Kansas City Chiefs,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Joel Stave,Kansas City Chiefs,2017,1,"$465,000","$465,000",$0,0.3%,"$711,144","$711,144",$0
Jordan Ta'amu,Kansas City Chiefs,2020,1,"$680,000","$680,000","$70,000",0.3%,"$876,246","$876,246","$90,202"
Jordan Ta'amu,Kansas City Chiefs,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Jordan Ta'amu,Kansas City Chiefs,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Jordan Ta'amu,Kansas City Chiefs,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Kyle Shurmur,Kansas City Chiefs,2019,3,"$1,765,000","$588,333","$75,000",0.3%,"$2,395,223","$798,407","$101,780"
Kyle Shurmur,Kansas City Chiefs,2019,2,"$1,080,000","$540,000",$0,0.3%,"$1,465,632","$732,816",$0
Kyle Shurmur,Kansas City Chiefs,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Kyle Shurmur,Kansas City Chiefs,2019,1,"$136,000","$136,000",$0,0.1%,"$184,561","$184,561",$0
Kyle Shurmur,Kansas City Chiefs,2020,1,"$510,000","$510,000",$0,0.3%,"$657,185","$657,185",$0
Matt McGloin,Kansas City Chiefs,2018,1,"$790,000","$790,000",$0,0.4%,"$1,138,634","$1,138,634",$0
Matt Moore,Kansas City Chiefs,2019,1,"$1,030,000","$1,030,000",$0,0.5%,"$1,397,779","$1,397,779",$0
Matt Moore,Kansas City Chiefs,2020,1,"$1,187,500","$1,187,500","$887,500",0.6%,"$1,530,209","$1,530,209","$1,143,630"
Matt Moore,Kansas City Chiefs,2020,1,"$253,765","$253,765",$0,0.1%,"$327,001","$327,001",$0
Matt Moore,Kansas City Chiefs,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Nick Foles,Kansas City Chiefs,2016,2,"$8,500,000","$4,250,000",$0,2.7%,"$13,981,452","$6,990,726",$0
Patrick Mahomes,Kansas City Chiefs,2017,4,"$16,425,962","$4,106,491","$16,425,962",2.5%,"$25,120,902","$6,280,226","$25,120,902"
Patrick Mahomes,Kansas City Chiefs,2020,10,"$450,000,000","$45,000,000","$141,000,000",22.7%,"$579,868,819","$57,986,882","$181,692,230"
Ricky Stanzi,Kansas City Chiefs,2011,4,"$2,251,052","$562,763","$211,052",0.5%,"$4,776,064","$1,194,016","$447,790"
Shane Buechele,Kansas City Chiefs,2021,3,"$2,440,000","$813,333","$175,000",0.4%,"$3,414,663","$1,138,221","$244,904"
Shane Buechele,Kansas City Chiefs,2021,2,"$1,485,000","$742,500",$0,0.4%,"$2,078,186","$1,039,093",$0
Shane Buechele,Kansas City Chiefs,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Shane Buechele,Kansas City Chiefs,2023,1,"$940,000","$940,000",$0,0.4%,"$1,067,954","$1,067,954",$0
Shea Patterson,Kansas City Chiefs,2020,3,"$2,285,000","$761,667",$0,0.4%,"$2,944,445","$981,482",$0
T.J. Linta,Kansas City Chiefs,2019,3,"$1,755,000","$585,000",$0,0.3%,"$2,381,652","$793,884",$0
Tyler Bray,Kansas City Chiefs,2015,2,"$1,925,000","$962,500",$0,0.7%,"$3,431,358","$1,715,679",$0
A.J. McCarron,Cincinnati Bengals,2014,4,"$2,401,652","$600,413","$181,652",0.5%,"$4,611,894","$1,152,974","$348,826"
A.J. McCarron,Cincinnati Bengals,2023,1,"$1,165,000","$1,165,000",$0,0.5%,"$1,323,581","$1,323,581",$0
A.J. McCarron,Cincinnati Bengals,2023,1,"$306,222","$306,222",$0,0.1%,"$347,905","$347,905",$0
A.J. McCarron,Cincinnati Bengals,2023,1,"$289,800","$289,800",$0,0.1%,"$329,248","$329,248",$0
Andy Dalton,Cincinnati Bengals,2011,4,"$5,214,198","$1,303,550","$4,028,171",1.1%,"$11,062,980","$2,765,746","$8,546,583"
Andy Dalton,Cincinnati Bengals,2014,6,"$96,000,000","$16,000,000","$17,000,000",12%,"$184,348,872","$30,724,812","$32,645,113"
Brandon Allen,Cincinnati Bengals,2020,1,"$825,000","$825,000",$0,0.4%,"$1,063,093","$1,063,093",$0
Brandon Allen,Cincinnati Bengals,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Brandon Allen,Cincinnati Bengals,2021,1,"$1,500,000","$1,500,000","$300,000",0.8%,"$2,099,178","$2,099,178","$419,836"
Brandon Allen,Cincinnati Bengals,2022,1,"$1,500,000","$1,500,000","$300,000",0.7%,"$1,840,058","$1,840,058","$368,012"
Brandon Allen,Cincinnati Bengals,2022,1,"$1,200,000","$1,200,000",$0,0.6%,"$1,472,046","$1,472,046",$0
Christian Hackenberg,Cincinnati Bengals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Connor Cook,Cincinnati Bengals,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Drew Plitt,Cincinnati Bengals,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
Drew Plitt,Cincinnati Bengals,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Eric Dungey,Cincinnati Bengals,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Greg McElroy,Cincinnati Bengals,2013,1,"$102,000","$102,000",$0,0.1%,"$211,795","$211,795",$0
Greg McElroy,Cincinnati Bengals,2014,1,"$495,000","$495,000",$0,0.4%,"$950,549","$950,549",$0
Jacob Dolegala,Cincinnati Bengals,2019,3,"$1,760,000","$586,667","$5,000",0.3%,"$2,388,438","$796,146","$6,785"
Jake Browning,Cincinnati Bengals,2021,1,"$193,067","$193,067",$0,0.1%,"$270,188","$270,188",$0
Jake Browning,Cincinnati Bengals,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Jake Browning,Cincinnati Bengals,2022,1,"$705,000","$705,000",$0,0.3%,"$864,827","$864,827",$0
Jake Browning,Cincinnati Bengals,2022,1,"$262,334","$262,334",$0,0.1%,"$321,806","$321,806",$0
Jake Browning,Cincinnati Bengals,2022,1,"$234,667","$234,667",$0,0.1%,"$287,867","$287,867",$0
Jake Browning,Cincinnati Bengals,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Jake Browning,Cincinnati Bengals,2023,1,"$750,000","$750,000",$0,0.3%,"$852,091","$852,091",$0
Jake Browning,Cincinnati Bengals,2024,2,"$1,945,000","$972,500",$0,0.4%,"$1,945,000","$972,500",$0
Jason Campbell,Cincinnati Bengals,2014,1,"$1,500,000","$1,500,000","$400,000",1.1%,"$2,880,451","$2,880,451","$768,120"
Jeff Driskel,Cincinnati Bengals,2016,4,"$2,452,540","$613,135",$0,0.4%,"$4,034,126","$1,008,531",$0
Joe Burrow,Cincinnati Bengals,2020,4,"$36,190,136","$9,047,534","$36,190,136",4.6%,"$46,634,514","$11,658,629","$46,634,514"
Joe Burrow,Cincinnati Bengals,2023,5,"$275,000,000","$55,000,000","$219,010,000",24.5%,"$312,433,274","$62,486,655","$248,821,859"
Joe Licata,Cincinnati Bengals,2016,3,"$1,620,000","$540,000",$0,0.3%,"$2,664,700","$888,233",$0
Josh Johnson,Cincinnati Bengals,2013,2,"$1,895,000","$947,500","$150,000",0.8%,"$3,934,821","$1,967,411","$311,463"
Keith Wenning,Cincinnati Bengals,2015,2,"$960,000","$480,000",$0,0.3%,"$1,711,223","$855,611",$0
Keith Wenning,Cincinnati Bengals,2015,1,"$112,200","$112,200",$0,0.1%,"$199,999","$199,999",$0
Kevin Hogan,Cincinnati Bengals,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Kyle Shurmur,Cincinnati Bengals,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Kyle Shurmur,Cincinnati Bengals,2021,1,"$660,000","$660,000",$0,0.4%,"$923,638","$923,638",$0
Logan Woodside,Cincinnati Bengals,2018,4,"$2,529,996","$632,499","$69,996",0.4%,"$3,646,507","$911,627","$100,886"
Logan Woodside,Cincinnati Bengals,2024,1,"$1,125,000","$1,125,000",$0,0.4%,"$1,125,000","$1,125,000",$0
Logan Woodside,Cincinnati Bengals,2024,1,"$302,400","$302,400",$0,0.1%,"$302,400","$302,400",$0
Matt Barkley,Cincinnati Bengals,2018,2,"$3,350,000","$1,675,000","$500,000",0.9%,"$4,828,386","$2,414,193","$720,655"
Matt Johnson,Cincinnati Bengals,2016,3,"$1,620,000","$540,000",$0,0.3%,"$2,664,700","$888,233",$0
Reid Sinnett,Cincinnati Bengals,2023,1,"$870,000","$870,000",$0,0.4%,"$988,425","$988,425",$0
Reid Sinnett,Cincinnati Bengals,2023,1,"$228,333","$228,333",$0,0.1%,"$259,414","$259,414",$0
Reid Sinnett,Cincinnati Bengals,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Rocky Lombardi,Cincinnati Bengals,2024,3,"$2,840,000","$946,667","$10,000",0.4%,"$2,840,000","$946,667","$10,000"
Trevor Siemian,Cincinnati Bengals,2023,1,"$1,317,500","$1,317,500","$152,500",0.6%,"$1,496,839","$1,496,839","$173,258"
Tyler Wilson,Cincinnati Bengals,2014,1,"$495,000","$495,000",$0,0.4%,"$950,549","$950,549",$0
Will Grier,Cincinnati Bengals,2023,1,"$370,800","$370,800",$0,0.2%,"$421,274","$421,274",$0
Andrew Luck,Indianapolis Colts,2012,4,"$22,107,998","$5,527,000","$22,107,998",4.6%,"$46,819,094","$11,704,774","$46,819,094"
Andrew Luck,Indianapolis Colts,2016,5,"$122,970,000","$24,594,000","$87,000,000",15.8%,"$202,270,484","$40,454,097","$143,104,270"
